=== START 67 combos ===
[1/67] OK armor_ice -> 75KB
[2/67] OK armor_dark -> 71KB
[3/67] OK armor_light -> 78KB
[4/67] OK armor_holy -> 80KB
[5/67] OK armor_earth -> 78KB
[6/67] OK shield_ice -> 74KB
[7/67] OK shield_dark -> 70KB
[8/67] OK shield_light -> 75KB
[9/67] OK shield_holy -> 82KB
[10/67] OK shield_earth -> 75KB
[11/67] OK helmet_ice -> 75KB
[12/67] OK helmet_dark -> 71KB
[13/67] OK helmet_light -> 76KB
[14/67] OK helmet_holy -> 81KB
[15/67] OK helmet_earth -> 75KB
[16/67] OK boots_ice -> 78KB
[17/67] OK boots_dark -> 76KB
[18/67] OK boots_light -> 87KB
[19/67] OK boots_holy -> 82KB
[20/67] OK boots_earth -> 80KB
[21/67] OK gloves_ice -> 85KB
[22/67] OK gloves_dark -> 73KB
[23/67] OK gloves_light -> 91KB
[24/67] OK gloves_holy -> 84KB
[25/67] OK gloves_earth -> 75KB
[26/67] OK pants_ice -> 73KB
[27/67] OK pants_dark -> 61KB
[28/67] OK pants_light -> 75KB
[29/67] OK pants_holy -> 79KB
[30/67] OK pants_earth -> 63KB
[31/67] OK belt_ice -> 75KB
[32/67] OK belt_dark -> 68KB
[33/67] OK belt_light -> 83KB
[34/67] OK belt_holy -> 81KB
[35/67] OK belt_earth -> 76KB
[36/67] OK cape_ice -> 65KB
[37/67] OK cape_dark -> 67KB
[38/67] OK cape_light -> 75KB
[39/67] OK cape_holy -> 84KB
[40/67] OK cape_earth -> 68KB
[41/67] OK arcane_ice -> 69KB
[42/67] OK arcane_dark -> 63KB
[43/67] OK arcane_light -> 74KB
[44/67] OK arcane_holy -> 73KB
[45/67] OK arcane_earth -> 65KB
[46/67] OK necklace_ice -> 72KB
[47/67] OK necklace_dark -> 76KB
[48/67] OK necklace_light -> 72KB
[49/67] OK necklace_holy -> 72KB
[50/67] OK necklace_earth -> 70KB
[51/67] OK ring_ice -> 69KB
[52/67] OK ring_dark -> 66KB
[53/67] OK ring_light -> 71KB
[54/67] OK ring_holy -> 74KB
[55/67] OK ring_earth -> 72KB
[56/67] OK bracelet_ice -> 72KB
[57/67] OK bracelet_dark -> 71KB
[58/67] OK bracelet_light -> 78KB
[59/67] OK bracelet_holy -> 71KB
[60/67] OK bracelet_earth -> 74KB
[61/67] OK earring_ice -> 71KB
[62/67] OK earring_dark -> 62KB
[63/67] OK earring_light -> 67KB
[64/67] OK earring_holy -> 71KB
[65/67] OK earring_earth -> 63KB
[66/67] OK repeater_holy -> 75KB
[67/67] OK repeater_earth -> 64KB
=== DONE ok=67 fail=0 ===
